主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720180111,2018-09-28,W1,자유공모형 사업의 사업계획서 필수요건 및 예비타당성 조사방법론 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180111&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720180088,2018-09-30,W1,R&D 분야 예비타당성 조사시 고려할 정책적 타당성에 대한 연구(정책적 타당성에 대한 메타평가와 대안),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180088&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180231,2018-10-01,W1,2017년도 국가연구개발사업 조사분석 보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180231&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180235,2018-10-11,W1,2017년도 예비타당성조사 보고서 중소기업 네트워크형 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180235&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180235,2018-10-11,W1,2017년도 예비타당성조사 보고서 중소기업 네트워크형 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180235&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180236,2018-10-15,W1,2017년도 예비타당성조사 보고서 산학연 Collabo R&D사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180236&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180236,2018-10-15,W1,2017년도 예비타당성조사 보고서 산학연 Collabo R&D사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180236&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180239,2018-10-30,W1,2018 국가연구개발 우수성과,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180239&rpt_tp=831-004,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-PRG0720180096,2018-11-14,W1,연구관리전문기관 사업관리의 전문성·공정성 제고방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180096&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180242,2018-11-20,W1,2018년도 국가연구개발사업 상위평가보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180242&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720180116,2018-11-30,W1,연구관리 전문기관 평가체계 및 매뉴얼 마련에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180116&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720180122,2018-11-30,W1,주요국의 기관평가 조사 분석을 통한 임무중심형 평가제도 개선방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180122&rpt_tp=831-007,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180245,2018-12-11,W1,세계경제포럼(WEF)의 세계경쟁력 보고서 2018분석-과학기술 관련 부문 중심으로,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180245&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180246,2018-12-11,W1,2017년도 예비타당성조사 보고서-중소기업글로벌혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180246,2018-12-11,W1,2017년도 예비타당성조사 보고서-중소기업글로벌혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,科技创新政策与能力基线,C-KISTEP-RES0220180248,2018-12-11,W1,2017년도 예비타당성조사 보고서-차세대 농작물 신육종기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180248&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180248,2018-12-11,W1,2017년도 예비타당성조사 보고서-차세대 농작물 신육종기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180248&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180249,2018-12-11,W1,2018년도 예비타당성조사 보고서-디스플레이 혁신공정 플랫폼 구축사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180249&rpt_tp=831-003,官方目录元数据，附件未列入本批
