主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210114,2021-03-11,W2,맞춤형 중소기업 R&D 지원전략 수립을 위한 기업혁신역량 측정 및 유형화에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210114&rpt_tp=831-005,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210114,2021-03-11,W2,맞춤형 중소기업 R&D 지원전략 수립을 위한 기업혁신역량 측정 및 유형화에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210114&rpt_tp=831-005,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210115,2021-03-15,W2,혁신성장동력분야별 현황분석 및 정책고도화 방안 연구(II),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210115&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210119,2021-03-15,W2,정부 R&D 기반구축 연구: 소재·부품·장비 분야 중심으로,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210119&rpt_tp=831-005,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-RES0220210109,2021-03-16,W2,미래인재특별위원회 운영 지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210109&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210109,2021-03-16,W2,미래인재특별위원회 운영 지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210109&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220210109,2021-03-16,W2,미래인재특별위원회 운영 지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210109&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210121,2021-03-17,W2,국가혁신체계 고도화를 위한 의제 탐색연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210121&rpt_tp=831-002,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210122,2021-03-18,W2,연구개발활동조사 심층분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210122&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210122,2021-03-18,W2,연구개발활동조사 심층분석,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210122&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210124,2021-03-18,W2,과학기술정책인큐베이팅 및 정책포럼 구성·운영,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210124&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210125,2021-03-19,W2,R&D 우수성과 범부처 이어달리기 추진방안 수립지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210125&rpt_tp=831-004,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220210103,2021-03-23,W2,2020년 다부처협력특위 운영,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210103&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210110,2021-03-23,W2,국가연구개발사업 예비타당성조사 2020 연차보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210110&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210080,2021-03-24,W2,"연구성과 관리·활용 기본계획/실시계획 수립 및 우수성과 추적조사, 성과평가포럼 운영",机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210080&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210123,2021-03-24,W2,혁신성장동력 기획관리 및 운영,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210123&rpt_tp=831-002,官方目录元数据，附件未列入本批
能源、气候与绿色转型,核心科技直接材料,C-KISTEP-RES0220210130,2021-03-24,W2,2020년도 예비타당성조사 보고서 원전해체핵심 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210130&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210130,2021-03-24,W2,2020년도 예비타당성조사 보고서 원전해체핵심 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210130&rpt_tp=831-003,官方目录元数据，附件未列入本批
航天、核能与大型技术系统,核心科技直接材料,C-KISTEP-RES0220210130,2021-03-24,W2,2020년도 예비타당성조사 보고서 원전해체핵심 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210130&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210131,2021-03-24,W2,연구현장중심의 국가연구개발사업 제도개선에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210131&rpt_tp=831-002,官方目录元数据，附件未列入本批
技术安全、供应链与国际合作,科技创新政策与能力基线,C-KISTEP-RES0220210131,2021-03-24,W2,연구현장중심의 국가연구개발사업 제도개선에 관한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210131&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210132,2021-03-24,W2,국가연구개발 중장기 투자전략 수립방향 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210132&rpt_tp=831-005,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210133,2021-03-24,W2,2020년도 예비타당성조사 보고서 (지속가능한 통합물관리 기술개발사업),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210133&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技人才、大学与知识流动,科技创新政策与能力基线,C-KISTEP-RES0220210134,2021-03-24,W2,소재·부품·장비 분야 인력양성 현황 분석 및 확보전략 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210134&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210134,2021-03-24,W2,소재·부품·장비 분야 인력양성 현황 분석 및 확보전략 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210134&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210136,2021-03-26,W2,과학기술기본계획 시행계획 수립 및 국가R&D 혁신 실행력 제고 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210136&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210129,2021-03-29,W2,지방과학기술진흥협의회 운영 효율화,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210129&rpt_tp=831-002,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210135,2021-03-29,W2,2020년도 예비타당성조사 보고서 (디지털 라이브 국토정보 기술개발사업),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210135&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210135,2021-03-29,W2,2020년도 예비타당성조사 보고서 (디지털 라이브 국토정보 기술개발사업),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210135&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210137,2021-03-29,W2,2020년도 예비타당성조사 보고서 첨단 산림생명공학기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210137&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210138,2021-03-29,W2,국가연구개발사업 연구윤리 제도 재정립 및 제재 제도개선 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210138&rpt_tp=831-002,官方目录元数据，附件未列入本批
技术安全、供应链与国际合作,科技创新政策与能力基线,C-KISTEP-RES0220210138,2021-03-29,W2,국가연구개발사업 연구윤리 제도 재정립 및 제재 제도개선 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210138&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210139,2021-03-29,W2,2020년도 예비타당성조사 보고서 건축물 안전 예측 및 대응 기술개발 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210139&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220210139,2021-03-29,W2,2020년도 예비타당성조사 보고서 건축물 안전 예측 및 대응 기술개발 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210139&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210141,2021-03-30,W2,공공연구기관 R&D 혁신을 위한 현황조사·분석 및 발전방안 도출에 관한 연구 (3단계),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210141&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210141,2021-03-30,W2,공공연구기관 R&D 혁신을 위한 현황조사·분석 및 발전방안 도출에 관한 연구 (3단계),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210141&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-PRG0720210052,2021-03-31,W2,국가 과학기술 경쟁력 제고를 위한 과학기술 석학기관의 발전 방안,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720210052&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210143,2021-03-31,W2,2020년 국가 과학기술 현황 종합 인식조사에 대한 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210143&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210140,2021-04-02,W2,정부R&D 재정사업 유형화를 통한 예산프로세스 개선방안 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210140&rpt_tp=831-005,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210142,2021-04-02,W2,2020년 기초연구진흥협의회 운영 지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210142&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220210144,2021-04-02,W2,과학기술관계장관회의의 안정적 운영 및 효율화 방안,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210144&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220210145,2021-04-06,W2,성장동력 정책 체계 비교 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210145&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210146,2021-04-12,W2,2020년도 연구개발지원단 육성지원사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210146&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210146,2021-04-12,W2,2020년도 연구개발지원단 육성지원사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210146&rpt_tp=831-002,官方目录元数据，附件未列入本批
半导体、量子与战略技术,核心科技直接材料,C-KISTEP-RES0220210120,2021-04-14,W2,2020년 기술수준평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210120&rpt_tp=831-006,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210120,2021-04-14,W2,2020년 기술수준평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210120&rpt_tp=831-006,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210147,2021-04-19,W2,2020년도 과학기술정보통신부 직할 출연(연) 및 국가과학기술연구회 기관평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210147&rpt_tp=831-001,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220210148,2021-04-19,W2,2020년도 다부처공동기획 활성화 기반 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210148&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210149,2021-04-22,W2,2020년 혁신도전프로젝트 사업 지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210149&rpt_tp=831-002,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210149,2021-04-22,W2,2020년 혁신도전프로젝트 사업 지원,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210149&rpt_tp=831-002,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220210150,2021-05-10,W2,2020 과학기술연감,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210150&rpt_tp=831-002,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210154,2021-06-24,W2,2020년도 예비타당성조사 보고서 디지털육종기반 종자산업 혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210154&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210154,2021-06-24,W2,2020년도 예비타당성조사 보고서 디지털육종기반 종자산업 혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210154&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-RES0220210154,2021-06-24,W2,2020년도 예비타당성조사 보고서 디지털육종기반 종자산업 혁신기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210154&rpt_tp=831-003,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210155,2021-06-29,W2,2020년도 예비타당성조사 보고서 사람 중심 AI 강국 실현을 위한 차세대 인공지능 핵심원천기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210155&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210155,2021-06-29,W2,2020년도 예비타당성조사 보고서 사람 중심 AI 강국 실현을 위한 차세대 인공지능 핵심원천기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210155&rpt_tp=831-003,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210156,2021-06-29,W2,2020년도 사업계획 적정성 재검토 보고서 글로벌헬스기술연구기금(라이트펀드)사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210156&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,核心科技直接材料,C-KISTEP-RES0220210156,2021-06-29,W2,2020년도 사업계획 적정성 재검토 보고서 글로벌헬스기술연구기금(라이트펀드)사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210156&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210156,2021-06-29,W2,2020년도 사업계획 적정성 재검토 보고서 글로벌헬스기술연구기금(라이트펀드)사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210156&rpt_tp=831-003,官方目录元数据，附件未列入本批
能源、气候与绿色转型,科技创新政策与能力基线,C-KISTEP-RES0220210157,2021-06-29,W2,2020년도 예비타당성조사 보고서 신기후체제 대응 환경기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210157&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210157,2021-06-29,W2,2020년도 예비타당성조사 보고서 신기후체제 대응 환경기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210157&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210158,2021-06-29,W2,2020년도 예비타당성조사 보고서 스마트 해양예측 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210158&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技前瞻与未来社会,科技创新政策与能力基线,C-KISTEP-RES0220210158,2021-06-29,W2,2020년도 예비타당성조사 보고서 스마트 해양예측 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210158&rpt_tp=831-003,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,核心科技直接材料,C-KISTEP-RES0220210159,2021-06-30,W2,2020년도 예비타당성조사 보고서 휴먼마이크로바이옴 상용화제품기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210159&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210159,2021-06-30,W2,2020년도 예비타당성조사 보고서 휴먼마이크로바이옴 상용화제품기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210159&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210161,2021-06-30,W2,2020년 예비타당성조사 보고서 다목적 방사광가속기 구축사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210161&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220210164,2021-08-17,W2,과학기술의 사회적 역할 강화를 위한 정책 이슈 분석 및 방법론 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210164&rpt_tp=831-002,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210166,2021-08-19,W2,2021년 국가연구개발 자체·상위평가,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210166&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210167,2021-08-23,W2,2020년도 예비타당성조사 보고서 차세대 쇄빙연구선 건조사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210167&rpt_tp=831-003,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210168,2021-08-23,W2,2020년도 예비타당성조사 보고서 데이터기반 스마트 철도안전관리 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210168&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210168,2021-08-23,W2,2020년도 예비타당성조사 보고서 데이터기반 스마트 철도안전관리 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210168&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210169,2021-08-23,W2,2020년도 예비타당성조사 보고서 한국형 스마트야드(K-Yard) 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210169&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220210169,2021-08-23,W2,2020년도 예비타당성조사 보고서 한국형 스마트야드(K-Yard) 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210169&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210170,2021-08-23,W2,2020년도 예비타당성조사 보고서 한국형발사체 고도화 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210170&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-RES0220210170,2021-08-23,W2,2020년도 예비타당성조사 보고서 한국형발사체 고도화 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210170&rpt_tp=831-003,官方目录元数据，附件未列入本批
航天、核能与大型技术系统,核心科技直接材料,C-KISTEP-RES0220210170,2021-08-23,W2,2020년도 예비타당성조사 보고서 한국형발사체 고도화 사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210170&rpt_tp=831-003,官方目录元数据，附件未列入本批
能源、气候与绿色转型,核心科技直接材料,C-KISTEP-RES0220210171,2021-08-23,W2,2020년도 예비타당성조사 보고서 가동원전 안전성 향상 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210171&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210171,2021-08-23,W2,2020년도 예비타당성조사 보고서 가동원전 안전성 향상 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210171&rpt_tp=831-003,官方目录元数据，附件未列入本批
航天、核能与大型技术系统,核心科技直接材料,C-KISTEP-RES0220210171,2021-08-23,W2,2020년도 예비타당성조사 보고서 가동원전 안전성 향상 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210171&rpt_tp=831-003,官方目录元数据，附件未列入本批
能源、气候与绿色转型,科技创新政策与能力基线,C-KISTEP-RES0220210172,2021-08-23,W2,2020년도 예비타당성조사 보고서 재생에너지 변동성 대응 유연발전 가스터빈 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210172&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210172,2021-08-23,W2,2020년도 예비타당성조사 보고서 재생에너지 변동성 대응 유연발전 가스터빈 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210172&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220210173,2021-08-23,W2,2020년도 예비타당성조사 보고서 기반시설 첨단관리(Total care) 기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210173&rpt_tp=831-003,官方目录元数据，附件未列入本批
人工智能、数据与数字技术,核心科技直接材料,C-KISTEP-RES0220210174,2021-08-23,W2,2020년도 예비타당성조사 보고서 PIM 인공지능 반도체 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210174&rpt_tp=831-003,官方目录元数据，附件未列入本批
半导体、量子与战略技术,核心科技直接材料,C-KISTEP-RES0220210174,2021-08-23,W2,2020년도 예비타당성조사 보고서 PIM 인공지능 반도체 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210174&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220210174,2021-08-23,W2,2020년도 예비타당성조사 보고서 PIM 인공지능 반도체 핵심기술개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210174&rpt_tp=831-003,官方目录元数据，附件未列入本批
