报告ID,官方记录ID,官方分类代码,韩文报告类型,发布日期,观察窗,韩文题名,作者,官方关键词,语言,资料角色,科技关联层级,主题标签,下载优先级,官方落地页,官方附件,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,本地状态,错误,获取日期
C-KISTEP-RES0220180225,RES0220180225,831-003,예비타당성조사,2018-08-27,W1,2017년도 예비타당성조사 보고서 한의약 혁신기술 개발사업,이흥권(재정투자분석본부),"임상연구, 비교효과연구, 한약제제, 한의의료기기, 의료정보 표준화",韩文,机构正式研究,科技创新政策与能力基线,生命科学、生物技术与健康；科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180225&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180225&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180226,RES0220180226,831-003,예비타당성조사,2018-08-27,W1,2017년도 예비타당성조사 보고서 상하수도 혁신 기술개발사업,이흥권(재정투자분석본부),"상수, 하수, 지능형, 기자재, 오염",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180226&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180226&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180228,RES0220180228,831-003,예비타당성조사,2018-08-28,W1,2017년도 예비타당성조사 보고서 국가 신약 파이프라인 발굴 확보 사업,이흥권(재정투자분석본부),"신약개발, 신약파이프라인, 물질발굴, 후보물질, 신약개발플랫폼",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180228&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180228&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180046,PRG0720180046,831-007,위탁/협동/공동연구보고서,2018-09-27,W1,불확실성(Uncertainty)을 고려한 공모형 사업의 편익추정방안 연구 : 불확실성 기반 컨조인트 분석(Conjoint analysis) 방법론을 중심으로,신정우(경희대학교 산학협력단),"예비타당성조사, 가치평가방법, 컨조인트 분석, 불확실성, 진술선호, 공모형 사업",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180046&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180046&seq=prg_0071P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180111,PRG0720180111,831-007,위탁/협동/공동연구보고서,2018-09-28,W1,자유공모형 사업의 사업계획서 필수요건 및 예비타당성 조사방법론 연구,김소영(한국과학기술원),"연구개발, 사업, 예비타당성 기초연구, 논리모형",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180111&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180111&seq=prg_0071P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180088,PRG0720180088,831-007,위탁/협동/공동연구보고서,2018-09-30,W1,R&D 분야 예비타당성 조사시 고려할 정책적 타당성에 대한 연구(정책적 타당성에 대한 메타평가와 대안),정태현(한양대학교 산학협력단),"연구개발, 평가, 예비타당성, 과학기술정책, 정책성",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180088&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180088&seq=prg_0071P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180231,RES0220180231,831-001,조사평가,2018-10-01,W1,2017년도 국가연구개발사업 조사분석 보고서,이현익(혁신정보분석센터),"조사분석, 정부, 연구개발, 투자, 통계",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180231&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180231&seq=res_0026P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180235,RES0220180235,831-003,예비타당성조사,2018-10-11,W1,2017년도 예비타당성조사 보고서 중소기업 네트워크형 기술개발사업,이흥권(재정투자분석본부),"산-산 협력, 개방형 혁신, 네트워크, 중소기업",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180235&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180235&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180236,RES0220180236,831-003,예비타당성조사,2018-10-15,W1,2017년도 예비타당성조사 보고서 산학연 Collabo R&D사업,이흥권(재정투자분석본부),"중소기업, 산학, 산연, 협력 R&D, 예비연구",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180236&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180236&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180239,RES0220180239,831-004,성과확산,2018-10-30,W1,2018 국가연구개발 우수성과,김남희(성과확산센터),"국가연구개발 우수성과, 100선, 우수기관, 사례집, 국가연구개발사업 ",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180239&rpt_tp=831-004,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180239&seq=res_0026P@1,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
