报告ID,官方记录ID,官方分类代码,韩文报告类型,发布日期,观察窗,韩文题名,作者,官方关键词,语言,资料角色,科技关联层级,主题标签,下载优先级,官方落地页,官方附件,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,本地状态,错误,获取日期
C-KISTEP-PRG0720190115,PRG0720190115,831-007,위탁/협동/공동연구보고서,2019-11-29,W2,국가연구개발사업이 기업의 연구개발 및 혁신에 미치는 영향 분석,분리보관(과학기술정책연구원),"국가연구개발사업, 기업 연구개발활동, 혁신활동, 영향분석",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190115&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720190115&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190210,RES0220190210,831-004,성과확산,2019-12-13,W2,국가연구개발 연구성과 관리 활용 실태조사,정동덕(성과확산센터),"연구성과, 성과활용, 국가연구개발사업",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190210&rpt_tp=831-004,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190210&seq=res_0026P@5,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190211,RES0220190211,831-001,조사평가,2019-12-13,W2,2019년도 국가연구개발사업 상위평가보고서(중간평가),오현환(R&D평가센터),"국가연구개발사업, 중간평가, 자체평가, 상위평가",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190211&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190211&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190212,RES0220190212,831-001,조사평가,2019-12-13,W2,국가R&D 기획·관리 지원서비스 구축,이윤빈(NTIS팀),"국가과학기술지식정보서비스, R&D 사업관리, 국가연구개발사업 조사·분석, 예산정보, 정책정보, 전주기정보, 과학기술통계, 성과평가",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190212&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190212&seq=res_0026P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190207,RES0220190207,831-001,조사평가,2019-12-16,W2,2019년 국가 과학기술혁신역량평가 연구,안지혜(혁신정보분석센터),"혁신역량, 복합지수, OECD",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190207&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190207&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190214,RES0220190214,831-002,정책기획,2019-12-17,W2,2018년도 과학기술분야 중장기계획 조사·분석,김민기(과학기술정책센터),"중장기계획, 정책, 심층분석",韩文,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190214&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190214&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190216,RES0220190216,831-003,예비타당성조사,2019-12-20,W2,2019년도 예비타당성조사 보고서 ICT R&D 혁신 바우처 지원사업,황지호(예비타당성조사1센터),"정보통신기술, 바우처 지원 프로그램, 중소기업, 혁신성장, 오픈 이노베이션",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190216&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190216&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190219,RES0220190219,831-003,예비타당성조사,2019-12-24,W2,2019년도 예비타당성조사 보고서 스마트팜 다부처 패키지 혁신기술개발,황지호(예비타당성조사1센터),"스마트팜, 시설원예, 축산, 인공지능, 빅데이터",韩文,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；科研体系、研发投入与评价；产业创新、创业与区域体系,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190219&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190219&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200015,PRG0720200015,831-007,위탁/협동/공동연구보고서,2019-12-31,W2,혁신성장동력 정책 개선안 도출을 위한 맞춤형 헬스케어 분야 이슈 분석,박성호(한국보건산업진흥원),,韩文,机构正式研究,科技创新政策与能力基线,生命科学、生物技术与健康；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200015&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200015&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200016,PRG0720200016,831-007,위탁/협동/공동연구보고서,2019-12-31,W2,혁신성장동력 정책 개선안 도출을 위한 신재생에너지 분야 이슈 분석에 관한 연구,분리보관(한국에너지기술평가원),,韩文,机构正式研究,科技创新政策与能力基线,能源、气候与绿色转型；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200016&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200016&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200017,PRG0720200017,831-007,위탁/협동/공동연구보고서,2019-12-31,W2,사회문제 해결형 R&D 활성화를 위한 리빙랩 확산 방안 연구,성지은(과학기술정책연구원),사회문제 해결형 R&D 리빙랩  리빙랩 길잡이 교육 및 컨설팅 범부처 확산 수행부처 및 연구관리기관 대상,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200017&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200017&seq=prg_0071P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200018,PRG0720200018,831-007,위탁/협동/공동연구보고서,2019-12-31,W2,2019년 국가연구개발사업 예비타당성조사('19년 1차/3차),정장훈(과학기술정책연구원),"국가연구개발사업,  예비타당성조사",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200018&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200018&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200021,PRG0720200021,831-007,위탁/협동/공동연구보고서,2019-12-31,W2,혁신성장동력 정책 진단 및 개선방안 연구,정은미(산업연구원),,韩文,机构正式研究,科技创新政策与能力基线,产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200021&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200021&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220190221,RES0220190221,831-001,조사평가,2020-01-02,W2,학생인건비 통합관리제 기획 및 운영,허기영(제도혁신센터),"학생인건비 통합관리, 학생연구원, 학생인건비, 연구기관 단위, 연구책임자 단위",韩文,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190221&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220190221&seq=res_0026P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200001,RES0220200001,831-002,정책기획,2020-01-08,W2,제도·규정 분석을 통한 국내 규제 샌드박스 법제 개선 연구,이재훈(제도혁신센터),"규제 샌드박스, 시범사업, 규제특례, 규제개선, 법제개선",韩文,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200001&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200001&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200004,RES0220200004,831-006,미래예측,2020-01-14,W2,디지털기술 발전이 초래하는지속가능성장의 미래예측 연구 -에너지 소비의 미래-,임현(기술예측센터),"예측, 디지털 기술, 지속가능한 성장, 국제협력, 시나리오",韩文,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；能源、气候与绿色转型；技术安全、供应链与国际合作；科技前瞻与未来社会,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200004&rpt_tp=831-006,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200004&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200005,RES0220200005,831-001,조사평가,2020-01-14,W2,중소기업 R&D 성과에 관한 메타분석: 정부지원과 기술혁신을 중심으로,배용국(R&D예산정책센터),"중소기업, 기술혁신, 메타분석, 경영성과, 연구개발",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200005&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200005&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200007,RES0220200007,831-002,정책기획,2020-01-16,W2,성과기반의 연구환경 요인에 관한 연구,강문상(R&D예산정책센터),"연구환경, 연구수월성, 국가연구개발 우수성과, 중요도-만족도 분석, 사회심리적 요인",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200007&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200007&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200001,PRG0720200001,831-007,위탁/협동/공동연구보고서,2020-01-17,W2,신규 성장동력 발굴을 위한 미래 유망 기술·산업·정책동향 조사·분석 연구,봉선학(주식회사 티비앤에이),"리뉴어블 플라스틱, 차세대 진단, e-케미컬(신재생화학공정), 유전자 편집기술, 차세대 배터리, 휴먼증강 슈트, 오가노이드(미니 장기), 스마트 공간정보, 양자정보컴퓨팅, 바이오푸드, 마이크로바이옴, 스마트공장, 자율운항 선박, 혁신형 디스플레이",韩文,机构正式研究,核心科技直接材料,半导体、量子与战略技术；生命科学、生物技术与健康；能源、气候与绿色转型；产业创新、创业与区域体系；科技前瞻与未来社会,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200001&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200001&seq=prg_0071P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200008,RES0220200008,831-001,조사평가,2020-01-17,W2,2019년도 국가연구개발사업 상위평가 보고서(추적평가),오현환(R&D평가센터),"국가연구개발사업, 추적평가, 상위평가",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200008&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200008&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200010,RES0220200010,831-006,미래예측,2020-01-20,W2,스마트 혁신 시대의 미래전망 및 과학기술 혁신정책 연구(Ⅰ) : 인공지능을 중심으로,최문정(기술예측센터),"스마트혁신, 인공지능, 정책연구",韩文,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；产业创新、创业与区域体系；科技前瞻与未来社会,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200010&rpt_tp=831-006,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200010&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200003,RES0220200003,831-004,성과확산,2020-01-22,W2,KISTEP 정책네트워크 구축 및 기관성과 확산을 통한 기관 이미지 제고 방안 연구,박소희(대외협력실),"정책네트워크, 연구성과, 사업성과, 홍보, 중장기 발전방안",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200003&rpt_tp=831-004,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200003&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200013,RES0220200013,831-003,예비타당성조사,2020-01-23,W2,2019년 국가 R&D사업 사전분석 전문 네트워크 구축 및 역량 강화,이태근(예비타당성조사2센터),"예비타당성조사, 국가연구개발사업, 사전분석 콜로키움, 예비타당성조사 교육, 전문가세미나",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200013&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200013&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200015,RES0220200015,831-002,정책기획,2020-01-28,W2,2019년 ‘KISTEP 이슈 페이퍼’ 발간을 통한 정책역량 강화방안 연구,정동덕(혁신전략연구소),"한국과학기술기획평가원, 정기간행물, 과학기술정책, 이슈페이퍼",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200015&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200015&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200017,RES0220200017,831-002,정책기획,2020-01-29,W2,혁신성장동력 분야별 현황분석 및 정책고도화 방안 연구,구본진(정책기획본부),"혁신성장동력, 신산업정책, 정책수요, 혁신생태계",韩文,机构正式研究,科技创新政策与能力基线,产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200017&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200017&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200018,RES0220200018,831-005,사업조정,2020-01-29,W2,지역 제조업 활성화를 위한 정부 R&D 지원방안 : 대구경북 중심으로,조나현(성장동력사업센터),"지역R&D, 중소중견기업, 네트워크, 산업거래, 정부R&D",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200018&rpt_tp=831-005,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200018&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200020,RES0220200020,831-001,조사평가,2020-01-29,W2,국가연구개발사업 평가제도 개선 방안 연구-상위평가 및 특정평가를 중심으로,오현환(R&D평가센터),"국가연구개발사업, 평가제도, 사업평가, 특정평가, 특정평가지침",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200020&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200020&seq=res_0026P@5,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200022,RES0220200022,831-002,정책기획,2020-01-29,W2,2019년 과학기술 & ICT 정책·기술 동향 분석,서행아(과학기술정책센터),"글로벌, 과학기술, 정보통신기술, 혁신정책, 동향",韩文,机构正式研究,科技创新政策与能力基线,产业创新、创业与区域体系,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200022&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200022&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200019,PRG0720200019,831-007,위탁/협동/공동연구보고서,2020-01-31,W2,지역 사회문제 해결을 위한 ‘문제기획 리빙랩’ 운영 방안 기획,전호일(국가과학기술연구회),문제기획 리빙랩 지역 사회문제 이해당사자간 소통,韩文,机构正式研究,科技创新政策与能力基线,产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200019&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200019&seq=prg_0071P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720200022,PRG0720200022,831-007,위탁/협동/공동연구보고서,2020-01-31,W2,국가연구개발사업 공동관리규정 체계보완연구,분리보관((사)기술과법 연구소),"공동관리규정, 용역, 제도개선",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720200022&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720200022&seq=prg_0071P@5,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200107,RES0220200107,831-005,사업조정,2020-01-31,W2,정부R&D 20조원 시대의 전략과 혁신주체별 역할 및 생태계 조성 방안 연구(Ⅰ),"이장재, 엄익천(혁신전략연구소)","국가기술혁신체계와 연구개발투자, 과학기술, 혁신주체",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200107&rpt_tp=831-005,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200107&seq=res_0026P@5,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200026,RES0220200026,831-003,예비타당성조사,2020-02-03,W2,2019년 R&D사업 예비타당성조사 일관성 제고를 위한 조사 체계 개선 방향 연구,황지호(예비타당성조사1센터),"예비타당성조사, 연구개발사업, 과학기술적 타당성, 정책적 타당성, 경제적 타당성",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200026&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200026&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200029,RES0220200029,831-001,조사평가,2020-02-03,W2,KISTEP 통계브리프,이윤빈(혁신정보분석센터),"과학기술통계, 국가연구개발투자, 국가연구개발성과, 경쟁력",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200029&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200029&seq=res_0026P@1,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200031,RES0220200031,831-002,정책기획,2020-02-03,W2,과학기술 분야 R&D 제도 혁신 기반 연구,"김현민, 서지현(제도혁신센터)","국가연구개발제도, R&D관리, R&D제도, 제도개선, 개정이력",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200031&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200031&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200032,RES0220200032,831-005,사업조정,2020-02-03,W2,수소경제 연계형 주력산업 연구개발 투자전략 연구,김선재(성장동력사업센터),"정부 연구개발,수소,연료전지,제조업,예산심의",韩文,机构正式研究,核心科技直接材料,能源、气候与绿色转型；科研体系、研发投入与评价；产业创新、创业与区域体系,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200032&rpt_tp=831-005,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200032&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200036,RES0220200036,831-005,사업조정,2020-02-03,W2,2019년도 글로벌 R&D 투자동향 분석,김홍영(사업조정전략센터),"연구개발예산, 투자동향, 과학기술정책, 삶의질",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200036&rpt_tp=831-005,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200036&seq=res_0026P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200037,RES0220200037,831-005,사업조정,2020-02-03,W2,정부R&D사업 예산구조 및 예산배분조정 체계 개선방안 연구,김홍영(사업조정전략센터),"정부R&D예산, 정부R&D사업, 예산배분·조정 체계, R&D 예산구조, 정책 제안",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200037&rpt_tp=831-005,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200037&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200038,RES0220200038,831-004,성과확산,2020-02-03,W2,공공R&D 성과실용화 제고를 위한 정책이슈 발굴 및 분석 연구,조현정(성과확산센터),"성과, 실용화, 기술이전, 사업화, 죽음의계곡, 다윈의바다, 공공R&D, 연구자창업",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200038&rpt_tp=831-004,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200038&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200023,RES0220200023,831-006,미래예측,2020-02-04,W2,2019년 기술영향평가(소셜 로봇 기술),조아라(기술예측센터)," 기술영향평가, 유망기술, 소셜 로봇, 기술예측, 미래예측",韩文,机构正式研究,核心科技直接材料,科研体系、研发投入与评价；科技前瞻与未来社会,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200023&rpt_tp=831-006,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200023&seq=res_0026P@4,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200030,RES0220200030,831-002,정책기획,2020-02-04,W2,2019년 전략적 R&D예산 배분 및 편성을 위한 정책기반 구축에 관한 연구,황지호(R&D예산정책센터),"정부정책, R&D예산, 예산배분, 투자효율화, 네트워크",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200030&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200030&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200033,RES0220200033,831-005,사업조정,2020-02-04,W2,국방연구개발 사업 중·장기 계획과 예산 요구의 실효성 확보를 위한 개선방안 연구,안광수(투자기획조정팀),"국방연구개발, 예산편성,성투자 절차, 중·장기 전략, 정책제안",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200033&rpt_tp=831-005,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200033&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220200039,RES0220200039,831-001,조사평가,2020-02-04,W2,2019년도 과학기술정책의 과학화 기반구축 연구,이윤빈(혁신정보분석센터),"과학기술정책의 과학화, 증거기반, 방법론 개발, 의사결정 지원, 과학기술정책지원서비스",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200039&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200039&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
