报告ID,年份,报告名称,序列角色,官方落地页,官方PDF,本地PDF,本地文本,本地切片,PDF页数,字节数,提取文本字符数,SHA256,中国关联,获取日期
C-NSF-NSB-SEI-2016,2016,Science and Engineering Indicators 2016 Digest,早期基线,https://www.nsf.gov/reports/indicators/science-engineering-indicators-2016-digest,https://nsf-gov-resources.nsf.gov/statistics/2016/nsb20161/uploads/1/2/digest.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-SEI-2016.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-SEI-2016.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-SEI-2016.md,28,13747485,53819,a87f1c2d28b934f27b0c1adea07f0256768cd9b48d73364475cf14dd000ac098,是；含中国研发、科研产出、专利、人才或知识技术密集产业比较,2026-08-22
C-NSF-NSB-SEI-2020,2020,The State of U.S. Science and Engineering 2020,中期节点,https://ncses.nsf.gov/pubs/nsb20201,https://ncses.nsf.gov/pubs/nsb20201/assets/nsb20201.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-SEI-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-SEI-2020.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-SEI-2020.md,32,736945,98553,13be3bec083498b22c63551c832503a022defbdf69b0f50e97d833c592bafc2e,是；含中国研发、科研产出、专利、人才或知识技术密集产业比较,2026-08-22
C-NSF-NSB-SEI-2024,2024,The State of U.S. Science and Engineering 2024,近期节点,https://ncses.nsf.gov/pubs/nsb20243,https://ncses.nsf.gov/pubs/nsb20243/assets/nsb20243.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-SEI-2024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-SEI-2024.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-SEI-2024.md,52,6304081,118638,6283e139b8a1ad8274097a3445673582baac14c144aacf00288f5c95445d9a9c,是；含中国研发、科研产出、专利、人才或知识技术密集产业比较,2026-08-22
C-NSF-NSB-SEI-2026,2026,The State of U.S. Science and Engineering 2026,当前节点,https://ncses.nsf.gov/pubs/nsbsep20261,https://ncses.nsf.gov/pubs/nsbsep20261/assets/nsbsep20261.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-SEI-2026.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-SEI-2026.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-SEI-2026.md,98,9112958,211821,67ece33b765170be893816c525d3c3e2443d4dd73874608a3abee24456141e3c,是；含中国研发、科研产出、专利、人才或知识技术密集产业比较,2026-08-22
